Fecha	Territorio	Confirmados PDIA	Confirmados PDIA 14 días	Confirmados PDIA 7 días	Total confirmados	Hospitalizados	Total UCI	Fallecidos	Curados
	Almería	5013	1814	916	5291	573	84	81	1646
	Cádiz	3257	1112	566	3585	699	92	182	1795
	Córdoba	3127	1002	496	3532	645	83	121	1845
	Granada	4394	908	471	5199	1328	142	298	3043
	Huelva	711	158	91	838	233	32	51	504
	Jaén	2302	480	268	2800	824	96	194	1917
	Málaga	8041	2592	1314	9823	1778	178	298	4300
	Sevilla	4806	1301	673	5480	1323	164	296	3131
01/09/2020	Andalucía	30767	9048	4676	35664	7333	867	1515	18056
	Almería	4851	1768	875	5129	556	81	78	1602
	Cádiz	3186	1123	586	3514	692	92	181	1790
	Córdoba	3040	965	476	3445	635	83	121	1826
	Granada	4321	897	473	5126	1320	142	298	3040
	Huelva	696	157	92	823	233	32	51	504
	Jaén	2271	468	277	2769	825	96	195	1914
	Málaga	7715	2420	1244	9497	1759	178	298	4284
	Sevilla	4687	1250	653	5361	1313	163	293	3096
31/08/2020	Andalucía	29812	8629	4320	34710	7257	859	1508	18007
	Almería	4618	1659	743	4895	538	78	74	1603
	Cádiz	3104	1094	570	3433	683	90	181	1789
	Córdoba	2951	923	426	3357	627	83	121	1819
	Granada	4253	859	452	5058	1312	142	297	3040
	Huelva	696	160	94	823	233	32	51	504
	Jaén	2245	459	289	2743	823	94	194	1911
	Málaga	7407	2330	1147	9189	1746	178	297	4255
	Sevilla	4538	1145	599	5212	1295	162	293	3086
30/08/2020	Andalucía	29220	8417	4344	34117	7238	855	1503	17938
	Almería	4531	1639	810	4808	536	78	73	1560
	Cádiz	3023	1072	567	3352	681	90	179	1770
	Córdoba	2920	945	490	3326	626	82	120	1819
	Granada	4154	785	399	4959	1311	142	297	3039
	Huelva	674	139	79	800	233	32	51	504
	Jaén	2189	423	260	2687	823	94	194	1911
	Málaga	7275	2320	1162	9057	1733	175	296	4250
	Sevilla	4454	1094	577	5128	1295	162	293	3085
29/08/2020	Andalucía	28601	8383	4404	33494	7202	852	1500	17888
	Almería	4448	1705	880	4724	526	76	71	1542
	Cádiz	2933	1070	528	3261	679	90	179	1739
	Córdoba	2852	937	513	3258	622	82	120	1819
	Granada	4115	795	430	4920	1305	141	296	3039
	Huelva	650	118	65	776	233	32	51	504
	Jaén	2120	373	212	2618	821	94	194	1911
	Málaga	7111	2299	1182	8891	1722	175	296	4249
	Sevilla	4372	1086	594	5046	1294	162	293	3085
28/08/2020	Andalucía	27741	8179	4247	32631	7160	848	1495	17841
	Almería	4258	1673	834	4534	512	74	71	1538
	Cádiz	2837	1049	510	3165	675	90	177	1737
	Córdoba	2768	917	498	3173	619	81	119	1808
	Granada	4058	786	452	4863	1300	141	295	3039
	Huelva	642	115	63	768	233	32	51	504
	Jaén	2051	320	177	2549	817	94	194	1898
	Málaga	6880	2261	1180	8658	1713	174	296	4233
	Sevilla	4247	1058	533	4921	1291	162	292	3084
27/08/2020	Andalucía	26832	7854	4026	31721	7102	841	1491	17685
	Almería	4098	1669	767	4374	499	73	69	1520
	Cádiz	2708	971	483	3036	675	88	177	1671
	Córdoba	2692	868	477	3096	608	81	118	1801
	Granada	3955	730	415	4760	1294	141	294	3038
	Huelva	624	106	64	750	232	32	51	504
	Jaén	2027	323	198	2525	815	94	194	1892
	Málaga	6597	2186	1103	8375	1692	170	296	4195
	Sevilla	4131	1001	519	4805	1287	162	292	3064
26/08/2020	Andalucía	26016	7576	3879	30901	7039	834	1490	17559
	Almería	3977	1691	778	4253	480	72	69	1501
	Cádiz	2542	857	415	2868	670	88	177	1669
	Córdoba	2609	797	484	3012	605	80	118	1797
	Granada	3876	698	393	4681	1290	141	294	3028
	Huelva	618	117	63	744	232	32	51	504
	Jaén	1991	315	179	2488	814	94	194	1877
	Málaga	6359	2135	1026	8137	1667	168	295	4191
	Sevilla	4044	966	541	4718	1281	159	292	2992
25/08/2020	Andalucía	25170	7153	3631	30055	6991	832	1486	17514
	Almería	3853	1679	772	4130	476	71	68	1499
	Cádiz	2467	832	416	2793	661	88	177	1669
	Córdoba	2491	712	420	2894	601	80	117	1792
	Granada	3813	671	393	4618	1285	141	293	3028
	Huelva	601	108	62	727	232	32	51	504
	Jaén	1955	282	162	2452	811	93	194	1849
	Málaga	6038	1946	892	7815	1656	168	294	4184
	Sevilla	3952	923	514	4626	1269	159	292	2989
24/08/2020	Andalucía	24541	6766	3495	29425	6923	827	1481	17411
	Almería	3728	1618	772	4004	453	68	66	1481
	Cádiz	2372	765	369	2698	660	88	177	1625
	Córdoba	2398	646	370	2801	596	80	118	1786
	Granada	3763	636	378	4568	1283	140	293	3028
	Huelva	595	103	59	721	232	32	51	499
	Jaén	1931	270	153	2428	804	93	192	1846
	Málaga	5894	1877	928	7671	1637	167	293	4160
	Sevilla	3860	851	466	4534	1258	159	291	2986
23/08/2020	Andalucía	23980	6443	3302	28864	6910	827	1479	17389
	Almería	3556	1498	669	3832	452	68	65	1481
	Cádiz	2317	741	373	2643	658	88	176	1625
	Córdoba	2332	608	357	2735	594	80	117	1786
	Granada	3692	593	332	4497	1281	140	293	3028
	Huelva	590	98	55	716	232	32	51	499
	Jaén	1909	251	150	2406	804	93	193	1846
	Málaga	5765	1820	907	7542	1632	167	293	4159
	Sevilla	3819	834	459	4493	1257	159	291	2965
22/08/2020	Andalucía	23387	6178	3284	28271	6898	827	1477	17383
	Almería	3441	1501	703	3717	452	68	64	1481
	Cádiz	2274	727	415	2600	657	88	176	1625
	Córdoba	2260	546	348	2663	593	80	117	1786
	Granada	3611	527	300	4416	1280	140	293	3028
	Huelva	581	99	49	707	232	32	51	499
	Jaén	1891	256	150	2388	804	93	192	1846
	Málaga	5592	1723	866	7369	1625	167	293	4153
	Sevilla	3737	799	453	4411	1255	159	291	2965
21/08/2020	Andalucía	22740	5885	3288	27623	6867	821	1475	17242
	Almería	3277	1449	693	3552	446	64	64	1477
	Cádiz	2213	696	429	2539	653	87	175	1514
	Córdoba	2203	512	356	2606	592	80	117	1776
	Granada	3552	502	284	4357	1278	140	292	3028
	Huelva	568	89	43	694	231	32	51	499
	Jaén	1860	257	130	2357	802	93	192	1835
	Málaga	5421	1640	893	7198	1612	166	293	4149
	Sevilla	3646	740	460	4320	1253	159	291	2964
20/08/2020	Andalucía	22033	5499	3140	26917	6830	819	1470	17198
	Almería	3154	1422	725	3429	432	64	64	1474
	Cádiz	2147	657	416	2473	651	87	175	1511
	Córdoba	2124	463	304	2527	588	78	117	1773
	Granada	3488	459	268	4293	1275	140	291	3019
	Huelva	548	77	33	674	231	32	50	498
	Jaén	1821	240	119	2319	800	93	192	1834
	Málaga	5202	1511	853	6979	1601	166	290	4126
	Sevilla	3549	670	422	4223	1252	159	291	2963
19/08/2020	Andalucía	21447	5239	3070	26329	6805	818	1470	17132
	Almería	3057	1426	772	3332	420	63	64	1472
	Cádiz	2063	589	382	2388	648	87	175	1503
	Córdoba	2049	403	246	2452	587	78	117	1759
	Granada	3428	421	252	4233	1272	140	291	3020
	Huelva	545	77	47	671	230	32	50	498
	Jaén	1802	252	127	2299	799	93	192	1825
	Málaga	5059	1478	875	6836	1599	166	290	4093
	Sevilla	3444	593	369	4118	1250	159	291	2962
18/08/2020	Andalucía	20869	4887	2896	25751	6763	818	1469	17106
	Almería	2934	1380	760	3208	407	63	63	1472
	Cádiz	2008	541	379	2333	643	87	175	1501
	Córdoba	1979	340	205	2382	584	78	117	1759
	Granada	3371	377	231	4176	1262	140	291	3019
	Huelva	538	73	46	664	229	32	50	497
	Jaén	1788	241	116	2285	799	93	192	1820
	Málaga	4876	1364	809	6654	1593	166	290	4078
	Sevilla	3375	571	350	4049	1246	159	291	2960
17/08/2020	Andalucía	20438	4640	2711	25320	6730	812	1466	17087
	Almería	2862	1397	755	3136	397	62	60	1461
	Cádiz	1964	503	357	2289	639	85	175	1501
	Córdoba	1938	317	194	2341	581	78	117	1757
	Granada	3343	358	217	4148	1261	140	291	3019
	Huelva	535	71	44	661	228	32	50	497
	Jaén	1768	224	108	2265	798	93	192	1820
	Málaga	4687	1206	699	6465	1581	166	290	4074
	Sevilla	3341	564	337	4015	1245	156	291	2958
16/08/2020	Andalucía	19912	4273	2416	24794	6707	809	1464	17051
	Almería	2676	1305	620	2950	389	60	59	1459
	Cádiz	1895	444	320	2220	636	85	175	1486
	Córdoba	1880	265	164	2283	581	78	117	1757
	Granada	3317	340	219	4122	1256	140	291	3005
	Huelva	535	72	44	661	228	32	50	496
	Jaén	1757	214	99	2254	797	93	192	1819
	Málaga	4552	1097	632	6330	1578	165	290	4071
	Sevilla	3300	536	318	3974	1242	156	290	2958
15/08/2020	Andalucía	19457	4007	2272	24339	6687	808	1459	16936
	Almería	2600	1264	661	2874	379	59	56	1348
	Cádiz	1815	393	272	2140	635	85	174	1484
	Córdoba	1871	277	162	2274	581	78	117	1757
	Granada	3274	314	190	4079	1253	140	290	3005
	Huelva	530	70	49	656	228	32	50	496
	Jaén	1740	202	105	2237	797	93	192	1819
	Málaga	4426	1025	569	6204	1575	165	290	4069
	Sevilla	3201	462	264	3875	1239	156	290	2958
14/08/2020	Andalucía	18923	3712	2086	23805	6671	805	1459	16910
	Almería	2441	1172	615	2715	376	58	56	1343
	Cádiz	1755	361	237	2080	632	84	174	1481
	Córdoba	1824	259	137	2227	581	78	117	1749
	Granada	3238	290	190	4043	1253	140	290	3004
	Huelva	524	72	45	650	228	32	50	495
	Jaén	1716	189	113	2213	797	93	192	1818
	Málaga	4287	950	518	6065	1571	165	290	4063
	Sevilla	3138	419	231	3812	1233	155	290	2957
13/08/2020	Andalucía	18490	3484	1968	23369	6641	804	1459	16852
	Almería	2318	1134	589	2592	373	58	56	1321
	Cádiz	1706	324	216	2029	625	84	174	1468
	Córdoba	1810	281	153	2212	579	78	117	1748
	Granada	3185	258	158	3990	1250	140	290	2991
	Huelva	513	69	42	639	227	32	50	495
	Jaén	1695	168	113	2192	796	92	192	1816
	Málaga	4174	863	488	5952	1562	165	290	4057
	Sevilla	3089	387	209	3763	1229	155	290	2956
12/08/2020	Andalucía	18068	3199	1857	22946	6618	803	1457	16813
	Almería	2190	1041	558	2463	364	57	55	1308
	Cádiz	1654	278	178	1977	623	84	174	1468
	Córdoba	1786	273	142	2188	578	78	117	1746
	Granada	3153	231	146	3958	1249	140	290	2987
	Huelva	498	56	30	624	227	32	50	493
	Jaén	1672	149	122	2169	793	92	192	1804
	Málaga	4074	804	491	5852	1557	165	289	4054
	Sevilla	3041	367	190	3715	1227	155	290	2953
11/08/2020	Andalucía	17762	2999	1777	22640	6601	801	1457	16748
	Almería	2114	989	558	2387	358	55	55	1296
	Cádiz	1623	250	156	1946	622	84	174	1465
	Córdoba	1748	244	110	2150	575	78	117	1733
	Granada	3126	214	133	3931	1249	140	290	2987
	Huelva	491	54	26	617	227	32	50	493
	Jaén	1662	140	115	2159	792	92	192	1802
	Málaga	3994	752	475	5772	1553	165	289	4049
	Sevilla	3004	356	204	3678	1225	155	290	2923
10/08/2020	Andalucía	17484	2800	1679	22361	6586	797	1457	16618
	Almería	2023	933	558	2296	352	53	55	1198
	Cádiz	1589	219	131	1912	620	84	174	1462
	Córdoba	1725	225	105	2127	573	78	117	1731
	Granada	3108	201	125	3913	1248	140	290	2986
	Huelva	489	52	25	615	227	32	50	492
	Jaén	1646	125	102	2143	791	92	192	1802
	Málaga	3910	693	423	5688	1551	165	289	4046
	Sevilla	2994	352	210	3667	1224	153	290	2901
09/08/2020	Andalucía	17254	2636	1614	22131	6573	797	1457	16618
	Almería	1978	909	608	2251	348	53	55	1198
	Cádiz	1545	181	97	1868	618	84	174	1462
	Córdoba	1712	218	98	2114	573	78	117	1731
	Granada	3085	190	110	3890	1247	140	290	2986
	Huelva	489	53	26	615	227	32	50	492
	Jaén	1639	119	96	2136	791	92	192	1802
	Málaga	3845	639	387	5623	1547	165	289	4046
	Sevilla	2961	327	192	3634	1222	153	290	2901
08/08/2020	Andalucía	16967	2452	1516	21844	6568	797	1455	16613
	Almería	1878	848	545	2151	345	53	53	1195
	Cádiz	1528	169	106	1851	617	84	174	1462
	Córdoba	1697	208	104	2099	573	78	117	1731
	Granada	3071	183	113	3876	1246	140	290	2984
	Huelva	480	47	20	606	227	32	50	492
	Jaén	1627	108	89	2124	791	92	192	1802
	Málaga	3765	585	362	5543	1547	165	289	4046
	Sevilla	2921	304	177	3594	1222	153	290	2901
07/08/2020	Andalucía	16623	2242	1417	21500	6557	796	1452	16514
	Almería	1764	772	498	2037	339	52	53	1193
	Cádiz	1510	155	117	1833	616	84	173	1461
	Córdoba	1679	195	115	2081	573	78	117	1650
	Granada	3042	167	95	3847	1245	140	288	2983
	Huelva	477	48	26	603	227	32	50	492
	Jaén	1581	65	54	2078	789	92	192	1802
	Málaga	3697	539	360	5475	1547	165	289	4046
	Sevilla	2873	301	152	3546	1221	153	290	2887
06/08/2020	Andalucía	16314	2030	1308	21193	6546	795	1452	16491
	Almería	1652	703	470	1925	334	52	53	1171
	Cádiz	1483	129	101	1806	615	84	173	1461
	Córdoba	1656	178	127	2058	573	78	117	1650
	Granada	3019	157	92	3825	1244	140	288	2983
	Huelva	471	43	27	597	226	31	50	492
	Jaén	1574	64	47	2071	789	92	192	1802
	Málaga	3612	471	300	5391	1545	165	289	4045
	Sevilla	2847	285	144	3520	1220	153	290	2887
05/08/2020	Andalucía	15998	1797	1139	20877	6521	795	1451	16467
	Almería	1547	621	400	1820	323	52	53	1149
	Cádiz	1459	107	85	1782	612	84	173	1461
	Córdoba	1643	174	130	2045	573	78	117	1650
	Granada	3001	161	80	3806	1244	140	288	2983
	Huelva	467	41	25	594	225	31	49	492
	Jaén	1549	39	26	2046	787	92	192	1802
	Málaga	3516	389	251	5295	1539	165	289	4043
	Sevilla	2816	265	142	3489	1218	153	290	2887
04/08/2020	Andalucía	15820	1680	1065	20697	6503	792	1451	16370
	Almería	1473	562	350	1746	312	50	53	1061
	Cádiz	1446	98	76	1769	611	84	173	1458
	Córdoba	1635	174	133	2037	572	78	117	1649
	Granada	2990	157	78	3795	1243	140	288	2982
	Huelva	465	41	29	591	225	31	49	492
	Jaén	1547	38	25	2044	785	91	192	1801
	Málaga	3480	369	243	5258	1537	165	289	4040
	Sevilla	2784	241	131	3457	1218	153	290	2887
03/08/2020	Andalucía	15622	1582	960	20499	6491	792	1450	16296
	Almería	1382	526	294	1655	305	50	53	994
	Cádiz	1432	89	66	1755	609	84	173	1456
	Córdoba	1610	156	115	2012	572	78	117	1646
	Granada	2982	161	75	3787	1242	140	288	2982
	Huelva	465	41	29	591	225	31	49	492
	Jaén	1545	36	24	2042	785	91	191	1801
	Málaga	3438	340	225	5216	1536	165	289	4038
	Sevilla	2768	233	132	3441	1217	153	290	2887
02/08/2020	Andalucía	15469	1516	867	20345	6485	790	1449	16294
	Almería	1314	516	247	1587	302	49	53	993
	Cádiz	1413	71	52	1736	607	84	172	1456
	Córdoba	1605	166	116	2007	572	77	117	1646
	Granada	2971	156	76	3776	1242	140	288	2982
	Huelva	464	40	29	590	225	31	49	492
	Jaén	1542	33	22	2039	785	91	191	1801
	Málaga	3409	318	204	5186	1536	165	289	4037
	Sevilla	2751	216	121	3424	1216	153	290	2887
01/08/2020	Andalucía	15286	1433	784	20162	6476	789	1449	16293
	Almería	1283	523	253	1556	299	49	53	993
	Cádiz	1395	55	38	1718	606	84	172	1456
	Córdoba	1582	174	98	1984	570	77	117	1645
	Granada	2954	149	66	3759	1241	139	288	2982
	Huelva	453	29	21	579	225	31	49	492
	Jaén	1532	24	13	2029	785	91	191	1801
	Málaga	3359	285	180	5136	1534	165	289	4037
	Sevilla	2728	194	115	3401	1216	153	290	2887
31/07/2020	Andalucía	15100	1359	731	19975	6472	789	1448	16288
	Almería	1199	451	207	1472	295	49	53	990
	Cádiz	1387	47	34	1709	606	84	172	1454
	Córdoba	1560	190	80	1962	570	77	117	1645
	Granada	2944	164	69	3749	1241	139	288	2982
	Huelva	452	29	24	578	225	31	49	492
	Jaén	1527	20	11	2024	785	91	190	1801
	Málaga	3319	270	162	5096	1534	165	289	4037
	Sevilla	2712	188	144	3385	1216	153	290	2887
30/07/2020	Andalucía	14918	1239	646	19794	6457	789	1448	16278
	Almería	1164	426	215	1437	289	49	53	979
	Cádiz	1377	37	26	1699	606	84	172	1454
	Córdoba	1516	155	43	1918	570	77	117	1645
	Granada	2923	173	61	3728	1236	139	288	2982
	Huelva	444	21	17	570	225	31	49	492
	Jaén	1527	22	17	2024	785	91	190	1801
	Málaga	3284	243	144	5062	1531	165	289	4038
	Sevilla	2683	162	123	3356	1215	153	290	2887
29/07/2020	Andalucía	14800	1166	609	19676	6452	788	1448	16174
	Almería	1127	406	201	1400	287	48	53	881
	Cádiz	1371	31	22	1693	606	84	172	1454
	Córdoba	1505	144	40	1907	569	77	117	1645
	Granada	2918	178	78	3723	1236	139	288	2982
	Huelva	441	19	16	567	223	31	49	492
	Jaén	1523	18	13	2020	785	91	190	1799
	Málaga	3255	221	127	5033	1531	165	289	4036
	Sevilla	2660	149	112	3333	1215	153	290	2885
28/07/2020	Andalucía	14695	1147	558	19570	6444	788	1448	16135
	Almería	1092	422	181	1365	284	48	53	863
	Cádiz	1365	27	18	1687	605	84	172	1453
	Córdoba	1499	138	39	1901	569	77	117	1640
	Granada	2906	183	73	3711	1235	139	288	2981
	Huelva	436	14	12	562	223	31	49	492
	Jaén	1522	22	12	2018	784	91	190	1798
	Málaga	3232	206	121	5010	1529	165	289	4023
	Sevilla	2643	135	102	3316	1215	153	290	2885
27/07/2020	Andalucía	14607	1090	569	19480	6438	785	1448	16122
	Almería	1059	404	204	1332	279	46	53	863
	Cádiz	1363	28	20	1685	605	84	172	1452
	Córdoba	1494	133	40	1896	569	77	118	1637
	Granada	2902	186	81	3706	1235	139	288	2981
	Huelva	433	13	9	559	223	31	49	491
	Jaén	1521	22	11	2017	784	91	189	1798
	Málaga	3205	182	107	4982	1529	165	289	4015
	Sevilla	2630	122	97	3303	1214	152	290	2885
26/07/2020	Andalucía	14523	1026	574	19396	6432	784	1448	16122
	Almería	1031	387	234	1304	278	46	53	863
	Cádiz	1360	27	18	1682	605	84	172	1452
	Córdoba	1487	126	48	1889	568	76	118	1637
	Granada	2890	176	75	3694	1234	139	288	2981
	Huelva	434	14	10	560	223	31	49	491
	Jaén	1520	22	11	2016	784	91	189	1798
	Málaga	3182	163	91	4959	1526	165	289	4015
	Sevilla	2619	111	87	3292	1214	152	290	2885
25/07/2020	Andalucía	14445	987	596	19318	6427	784	1447	16120
	Almería	1011	391	252	1284	277	46	53	861
	Cádiz	1356	23	16	1678	603	84	172	1452
	Córdoba	1484	125	76	1886	567	76	117	1638
	Granada	2879	174	75	3683	1233	139	288	2980
	Huelva	430	10	6	556	223	31	49	491
	Jaén	1518	21	10	2014	784	91	189	1798
	Málaga	3171	156	97	4948	1526	165	289	4015
	Sevilla	2596	87	64	3269	1214	152	290	2885
24/07/2020	Andalucía	14331	925	596	19203	6421	784	1447	16050
	Almería	982	391	235	1255	272	46	53	809
	Cádiz	1352	21	12	1674	603	84	172	1452
	Córdoba	1479	120	110	1880	566	76	117	1638
	Granada	2870	171	91	3674	1233	139	288	2977
	Huelva	427	8	4	553	223	31	49	491
	Jaén	1515	18	8	2011	784	91	189	1798
	Málaga	3145	142	96	4922	1524	165	289	4000
	Sevilla	2561	54	40	3234	1216	152	290	2885
23/07/2020	Andalucía	14219	854	545	19090	6413	784	1446	15959
	Almería	921	335	184	1194	269	46	53	778
	Cádiz	1350	20	10	1672	603	84	172	1452
	Córdoba	1473	117	112	1874	565	76	116	1638
	Granada	2852	178	103	3656	1233	139	288	2972
	Huelva	424	5	1	550	223	31	49	491
	Jaén	1510	13	5	2005	783	91	189	1760
	Málaga	3135	139	94	4912	1523	165	289	3983
	Sevilla	2554	47	36	3227	1214	152	290	2885
22/07/2020	Andalucía	14161	850	527	19023	6407	784	1446	15941
	Almería	925	355	200	1198	267	46	53	774
	Cádiz	1347	20	7	1668	602	84	172	1452
	Córdoba	1464	109	103	1866	565	76	116	1638
	Granada	2834	189	95	3637	1233	139	288	2970
	Huelva	424	6	2	550	223	31	49	491
	Jaén	1510	13	5	2004	782	91	189	1758
	Málaga	3114	122	82	4884	1522	165	289	3974
	Sevilla	2543	36	33	3216	1213	152	290	2884
21/07/2020	Andalucía	14044	768	496	18905	6409	784	1446	15934
	Almería	841	276	168	1114	265	46	53	772
	Cádiz	1347	21	9	1668	603	84	172	1452
	Córdoba	1460	105	99	1861	565	76	116	1637
	Granada	2820	198	98	3623	1229	139	288	2970
	Huelva	424	6	2	550	223	31	49	491
	Jaén	1509	14	10	2003	782	91	189	1755
	Málaga	3104	116	79	4874	1528	165	289	3973
	Sevilla	2539	32	31	3212	1214	152	290	2884
20/07/2020	Andalucía	13967	701	449	18828	6401	783	1446	15900
	Almería	822	260	163	1095	264	45	53	769
	Cádiz	1342	17	7	1663	600	84	172	1449
	Córdoba	1449	95	88	1850	564	76	116	1637
	Granada	2809	191	94	3612	1229	139	288	2966
	Huelva	423	5	3	549	223	31	49	490
	Jaén	1509	14	11	2003	782	91	189	1755
	Málaga	3081	93	59	4851	1526	165	289	3950
	Sevilla	2532	26	24	3205	1213	152	290	2884
19/07/2020	Andalucía	13901	646	403	18761	6399	783	1446	15900
	Almería	797	238	150	1070	263	45	53	769
	Cádiz	1342	17	9	1662	600	84	172	1449
	Córdoba	1436	82	75	1837	564	76	116	1637
	Granada	2784	173	71	3587	1229	139	288	2966
	Huelva	423	5	3	549	223	31	49	490
	Jaén	1509	14	11	2003	782	91	189	1755
	Málaga	3075	88	57	4845	1525	165	289	3950
	Sevilla	2535	29	27	3208	1213	152	290	2884
18/07/2020	Andalucía	13823	586	366	18682	6396	783	1446	15900
	Almería	786	230	164	1059	263	45	53	769
	Cádiz	1340	19	7	1660	600	84	172	1449
	Córdoba	1397	43	38	1798	564	76	116	1637
	Granada	2772	167	68	3574	1228	139	288	2966
	Huelva	423	5	3	549	223	31	49	490
	Jaén	1508	13	11	2002	782	91	189	1755
	Málaga	3062	80	48	4832	1523	165	289	3950
	Sevilla	2535	29	27	3208	1213	152	290	2884
17/07/2020	Andalucía	13733	519	329	18592	6386	783	1446	15874
	Almería	774	225	183	1047	261	45	53	767
	Cádiz	1340	19	9	1660	600	84	172	1447
	Córdoba	1367	13	8	1768	564	76	116	1637
	Granada	2762	168	64	3564	1228	139	288	2966
	Huelva	425	7	6	551	223	31	49	490
	Jaén	1506	12	9	2000	782	91	189	1755
	Málaga	3042	63	40	4812	1516	165	289	3929
	Sevilla	2517	12	10	3190	1212	152	290	2883
16/07/2020	Andalucía	13665	463	302	18524	6385	782	1446	15845
	Almería	740	192	155	1013	260	44	53	762
	Cádiz	1340	20	10	1660	600	84	172	1447
	Córdoba	1361	7	5	1762	564	76	116	1637
	Granada	2748	162	74	3550	1228	139	288	2964
	Huelva	425	7	6	551	223	31	49	490
	Jaén	1505	11	8	1999	782	91	189	1755
	Málaga	3035	58	40	4805	1516	165	289	3908
	Sevilla	2511	6	4	3184	1212	152	290	2882
15/07/2020	Andalucía	13575	391	264	18434	6383	781	1446	15817
	Almería	680	134	110	953	260	44	53	762
	Cádiz	1338	19	11	1658	600	84	172	1446
	Córdoba	1361	7	6	1762	564	76	116	1636
	Granada	2733	158	88	3535	1227	138	288	2964
	Huelva	422	4	4	548	223	31	49	490
	Jaén	1504	12	7	1998	781	91	189	1755
	Málaga	3027	51	35	4797	1516	165	289	3882
	Sevilla	2510	6	3	3183	1212	152	290	2882
14/07/2020	Andalucía	13542	384	266	18402	6376	781	1446	15796
	Almería	671	128	106	944	258	44	53	762
	Cádiz	1337	21	11	1657	600	84	172	1444
	Córdoba	1362	8	7	1763	564	76	116	1636
	Granada	2721	161	99	3523	1224	138	288	2963
	Huelva	422	4	4	548	223	31	49	488
	Jaén	1499	8	4	1993	781	91	189	1754
	Málaga	3022	49	34	4793	1514	165	289	3867
	Sevilla	2508	5	1	3181	1212	152	290	2882
13/07/2020	Andalucía	13514	371	247	18374	6377	781	1446	15755
	Almería	659	117	97	931	257	44	53	761
	Cádiz	1335	21	11	1655	600	84	172	1442
	Córdoba	1362	9	8	1763	564	76	116	1635
	Granada	2711	159	92	3514	1225	138	288	2963
	Huelva	420	2	2	546	223	31	49	488
	Jaén	1498	9	3	1992	781	91	189	1752
	Málaga	3021	49	32	4792	1515	165	289	3832
	Sevilla	2508	5	2	3181	1212	152	290	2882
12/07/2020	Andalucía	13496	389	240	18356	6372	780	1446	15755
	Almería	647	109	88	919	256	43	53	761
	Cádiz	1333	19	9	1653	600	84	172	1442
	Córdoba	1361	8	7	1762	564	76	116	1635
	Granada	2712	175	100	3515	1225	138	288	2963
	Huelva	420	2	2	546	223	31	49	488
	Jaén	1498	12	3	1992	781	91	189	1752
	Málaga	3017	59	29	4788	1511	165	289	3832
	Sevilla	2508	5	2	3181	1212	152	290	2882
11/07/2020	Andalucía	13449	357	210	18308	6370	780	1446	15754
	Almería	623	85	67	895	256	43	53	761
	Cádiz	1332	19	11	1652	600	84	172	1441
	Córdoba	1360	7	6	1761	564	76	116	1635
	Granada	2699	170	93	3501	1224	138	288	2963
	Huelva	420	2	2	546	223	31	49	488
	Jaén	1497	12	2	1991	781	91	189	1752
	Málaga	3010	57	27	4781	1510	165	289	3832
	Sevilla	2508	5	2	3181	1212	152	290	2882
10/07/2020	Andalucía	13387	319	174	18247	6364	778	1446	15694
	Almería	592	54	43	864	256	42	53	758
	Cádiz	1328	18	7	1648	597	84	172	1430
	Córdoba	1357	4	4	1758	564	76	116	1634
	Granada	2688	170	94	3491	1223	137	288	2959
	Huelva	419	1	1	545	223	31	49	488
	Jaén	1497	16	3	1991	781	91	189	1751
	Málaga	2999	50	20	4770	1508	165	289	3792
	Sevilla	2507	6	2	3180	1212	152	290	2882
09/07/2020	Andalucía	13338	289	138	18199	6356	778	1446	15648
	Almería	585	50	37	857	254	42	53	755
	Cádiz	1326	16	6	1646	596	84	172	1421
	Córdoba	1353	1	0	1755	562	76	116	1635
	Granada	2658	146	72	3460	1221	137	288	2959
	Huelva	419	2	1	545	223	31	49	486
	Jaén	1497	16	3	1991	781	91	189	1749
	Málaga	2993	52	17	4765	1507	165	289	3761
	Sevilla	2507	6	2	3180	1212	152	290	2882
08/07/2020	Andalucía	13304	319	122	18163	6352	778	1444	15602
	Almería	569	35	23	840	251	42	53	754
	Cádiz	1327	20	9	1646	596	84	172	1415
	Córdoba	1353	1	0	1755	562	76	117	1633
	Granada	2644	144	69	3446	1220	137	287	2959
	Huelva	418	8	0	544	223	31	49	480
	Jaén	1496	16	4	1990	781	91	189	1748
	Málaga	2990	88	14	4762	1507	165	288	3732
	Sevilla	2507	7	3	3180	1212	152	289	2881
07/07/2020	Andalucía	13278	345	124	18136	6350	784	1444	15554
	Almería	565	32	22	836	251	42	53	750
	Cádiz	1327	21	12	1646	596	85	172	1411
	Córdoba	1353	1	0	1755	562	76	117	1633
	Granada	2624	133	65	3426	1218	138	287	2959
	Huelva	418	8	0	544	223	31	49	480
	Jaén	1496	15	6	1990	781	91	189	1748
	Málaga	2988	127	15	4759	1507	168	287	3693
	Sevilla	2507	8	4	3180	1212	153	290	2880
06/07/2020	Andalucía	13262	333	119	18121	6346	784	1442	15533
	Almería	562	29	20	833	250	42	53	750
	Cádiz	1325	18	10	1643	594	85	171	1410
	Córdoba	1353	1	1	1756	563	76	117	1631
	Granada	2612	122	61	3415	1216	138	287	2959
	Huelva	418	10	0	544	223	31	49	480
	Jaén	1496	15	6	1990	781	91	189	1747
	Málaga	2990	131	18	4761	1507	168	287	3675
	Sevilla	2506	7	3	3179	1212	153	289	2881
