Territorio,Población,Confirmados_PDIA,Confirmados_PDIA_14_días,Tasa_PDIA_14_días,Confirmados_PDIA_7_días,Total_confirmados,Curados,Fallecidos
Villa de Otura,6952,141,62,891.8296892980437,21,147,45,1
Padul,8420,198,90,1068.8836104513064,29,206,42,2
Peligros,11394,460,225,1974.7235387045814,59,468,54,8
Pinar (El),877,3,2,228.05017103762827,0,3,0,0
Pinos Genil,1457,46,20,1372.6835964310226,9,47,11,0
Pinos Puente,9930,257,116,1168.1772406847936,39,261,44,11
Píñar,1138,12,6,527.2407732864675,3,12,3,1
Pulianas,5429,163,59,1086.7563087124702,16,163,29,1
Quéntar,933,13,4,428.7245444801715,3,13,7,0
Salar,2631,68,41,1558.3428354237933,16,68,4,0
Santa Cruz del Comercio,528,4,0,0.0,0,4,1,0
Santa Fe,15157,513,253,1669.195751138088,132,527,157,26
Torre-Cardela,736,7,1,135.8695652173913,1,7,1,0
Valderrubio,2086,77,44,2109.3000958772773,17,77,10,0
Valle (El),914,12,10,1094.0919037199126,5,12,1,0
Vegas del Genil,11166,315,117,1047.8237506716819,31,321,97,8
Ventas de Huelma,640,28,24,3750.0,11,29,4,0
Villamena,948,4,0,0.0,0,4,3,0
Villanueva Mesía,2021,30,12,593.7654626422564,3,31,4,2
Víznar,976,19,8,819.672131147541,5,19,3,0
Zafarraya,2137,40,7,327.56200280767433,3,40,2,0
Zagra,834,36,14,1678.6570743405275,4,36,7,1
Zubia (La),19155,572,199,1038.8932393630905,66,609,140,15
Municipio de Granada sin especificar,0,489,116,0.0,21,490,95,5
